iter	Passed	Remaining
0	2	241
1	4	234
2	6	211
3	8	197
4	10	191
5	12	192
6	14	189
7	15	180
8	18	182
9	19	177
10	21	171
11	23	168
12	24	163
13	25	158
14	27	154
15	29	152
16	30	149
17	33	150
18	34	148
19	36	145
20	38	143
21	39	141
22	41	139
23	43	137
24	45	136
25	47	135
26	49	134
27	51	132
28	53	130
29	54	127
30	56	125
31	58	123
32	59	121
33	62	121
34	65	120
35	66	119
36	69	118
37	71	116
38	73	114
39	74	112
40	76	110
41	78	108
42	80	106
43	81	103
44	83	102
45	85	100
46	86	97
47	88	95
48	90	94
49	92	92
50	94	90
51	95	88
52	98	87
53	100	85
54	101	83
55	103	81
56	105	79
57	107	77
58	109	76
59	111	74
60	113	72
61	115	70
62	118	69
63	120	67
64	122	65
65	124	64
66	126	62
67	127	60
68	129	58
69	130	56
70	132	54
71	134	52
72	136	50
73	138	48
74	140	46
75	142	44
76	143	42
77	145	40
78	146	38
79	148	37
80	150	35
81	152	33
82	154	31
83	156	29
84	157	27
85	159	25
86	161	24
87	162	22
88	165	20
89	167	18
90	170	16
91	171	14
92	173	13
93	174	11
94	176	9
95	178	7
96	179	5
97	181	3
98	182	1
99	185	0
