iter	Passed	Remaining
0	1	999
1	1	914
2	2	886
3	3	870
4	4	853
5	5	870
6	6	872
7	6	858
8	7	848
9	8	825
10	9	814
11	10	826
12	10	828
13	11	826
14	12	823
15	13	825
16	14	825
17	15	832
18	16	832
19	16	831
20	17	828
21	18	826
22	19	838
23	20	835
24	21	829
25	22	833
26	23	834
27	23	832
28	24	830
29	25	824
30	26	820
31	27	818
32	27	816
33	28	816
34	29	814
35	30	812
36	31	809
37	31	808
38	32	805
39	33	802
40	34	803
41	35	804
42	36	805
43	36	802
44	37	802
45	38	802
46	39	799
47	40	796
48	40	795
49	41	791
50	42	790
51	43	788
52	43	785
53	44	782
54	45	779
55	46	776
56	46	775
57	47	774
58	48	771
59	49	770
60	49	768
61	50	767
62	51	770
63	52	767
64	53	767
65	54	766
66	54	764
67	55	761
68	56	757
69	56	754
70	57	750
71	58	748
72	58	744
73	59	742
74	59	739
75	60	736
76	61	733
77	61	731
78	62	728
79	63	725
80	63	722
81	64	720
82	65	719
83	66	719
84	66	718
85	67	715
86	68	715
87	68	714
88	69	712
89	70	710
90	70	707
91	71	704
92	72	702
93	72	699
94	73	697
95	73	693
96	74	691
97	74	689
98	75	686
99	76	684
100	76	682
101	77	679
102	77	677
103	78	674
104	78	672
105	79	670
106	80	669
107	80	668
108	81	666
109	82	665
110	82	663
111	83	661
112	84	659
113	84	657
114	85	655
115	85	653
116	86	652
117	87	650
118	87	649
119	88	646
120	88	643
121	89	641
122	89	639
123	90	637
124	90	636
125	91	634
126	92	633
127	92	632
128	93	632
129	94	632
130	95	631
131	95	630
132	96	629
133	97	627
134	97	626
135	98	624
136	99	623
137	99	621
138	100	620
139	100	620
140	101	619
141	102	618
142	102	615
143	103	614
144	104	613
145	104	612
146	105	611
147	106	610
148	106	609
149	107	608
150	108	607
151	108	606
152	109	605
153	110	605
154	110	604
155	111	603
156	112	602
157	112	601
158	113	599
159	114	598
160	114	597
161	115	596
162	115	595
163	116	594
164	117	592
165	117	591
166	118	590
167	118	589
168	119	588
169	120	587
170	120	586
171	121	585
172	122	584
173	122	583
174	123	582
175	124	581
176	124	580
177	125	580
178	126	580
179	127	579
180	127	579
181	128	578
182	129	577
183	129	576
184	130	575
185	131	574
186	131	573
187	132	572
188	133	572
189	134	571
190	134	570
191	135	569
192	135	568
193	136	567
194	137	566
195	137	565
196	138	564
197	139	563
198	140	563
199	141	564
200	141	563
201	142	563
202	143	562
203	143	561
204	144	559
205	144	558
206	145	557
207	146	556
208	146	555
209	147	554
210	148	553
211	148	553
212	149	552
213	150	551
214	150	550
215	151	549
216	151	548
217	152	546
218	153	545
219	153	544
220	154	544
221	155	543
222	155	543
223	156	542
224	157	541
225	157	540
226	158	539
227	159	539
228	160	538
229	160	537
230	161	536
231	161	536
232	162	535
233	163	534
234	164	533
235	164	533
236	165	532
237	165	530
238	166	530
239	167	529
240	167	527
241	168	526
242	168	525
243	169	524
244	170	524
245	170	523
246	171	523
247	172	522
248	173	522
249	173	521
250	174	520
251	174	519
252	175	518
253	176	517
254	176	516
255	177	515
256	178	514
257	178	514
258	179	513
259	180	512
260	180	511
261	181	510
262	181	509
263	182	508
264	183	507
265	183	506
266	184	505
267	184	504
268	185	503
269	186	503
270	186	502
271	187	501
272	187	500
273	188	499
274	189	498
275	189	497
276	190	496
277	190	495
278	191	494
279	192	494
280	192	493
281	193	492
282	193	491
283	194	490
284	195	489
285	195	488
286	196	487
287	196	487
288	197	485
289	198	485
290	198	484
291	199	483
292	199	482
293	200	481
294	201	480
295	201	480
296	202	479
297	203	478
298	203	477
299	204	476
300	204	475
301	205	475
302	206	474
303	206	473
304	207	473
305	208	472
306	208	471
307	209	470
308	210	469
309	210	469
310	211	468
311	212	467
312	212	466
313	213	465
314	213	465
315	214	464
316	215	463
317	215	462
318	216	461
319	217	461
320	217	460
321	218	459
322	218	458
323	219	457
324	219	456
325	220	456
326	221	455
327	221	454
328	222	453
329	222	452
330	223	451
331	224	450
332	224	450
333	225	449
334	225	448
335	226	447
336	227	446
337	227	445
338	228	445
339	228	444
340	229	443
341	230	442
342	230	441
343	231	440
344	231	440
345	232	439
346	233	438
347	233	437
348	234	437
349	235	436
350	235	435
351	236	435
352	237	434
353	237	433
354	238	432
355	238	432
356	239	431
357	240	430
358	240	429
359	241	428
360	241	428
361	242	427
362	243	426
363	243	425
364	244	425
365	244	424
366	245	423
367	246	423
368	247	422
369	247	421
370	248	421
371	249	420
372	249	420
373	250	419
374	251	418
375	252	418
376	252	417
377	253	416
378	253	416
379	254	415
380	255	414
381	255	413
382	256	413
383	257	412
384	257	411
385	258	411
386	259	410
387	259	409
388	260	409
389	261	408
390	261	407
391	262	407
392	263	406
393	264	406
394	264	405
395	265	404
396	265	403
397	266	403
398	267	402
399	267	401
400	268	401
401	269	400
402	269	399
403	270	398
404	271	398
405	271	397
406	272	396
407	272	395
408	273	394
409	273	394
410	274	393
411	275	392
412	275	391
413	276	391
414	277	390
415	278	390
416	278	389
417	279	388
418	279	388
419	280	387
420	281	386
421	281	385
422	282	385
423	282	384
424	283	383
425	284	382
426	284	382
427	285	381
428	285	380
429	286	379
430	287	379
431	287	378
432	288	377
433	288	376
434	289	375
435	290	375
436	290	374
437	291	374
438	292	373
439	293	372
440	293	372
441	294	372
442	295	371
443	295	370
444	296	370
445	297	369
446	297	368
447	298	367
448	299	367
449	299	366
450	300	365
451	300	364
452	301	364
453	302	363
454	302	362
455	303	361
456	304	361
457	304	360
458	305	359
459	306	359
460	307	359
461	307	358
462	308	357
463	309	357
464	309	356
465	310	355
466	310	354
467	311	354
468	312	353
469	312	352
470	313	351
471	313	351
472	314	350
473	315	349
474	315	349
475	316	348
476	317	347
477	317	347
478	318	346
479	318	345
480	319	344
481	320	344
482	320	343
483	321	342
484	322	342
485	323	341
486	323	340
487	324	340
488	324	339
489	325	338
490	326	338
491	326	337
492	327	336
493	328	335
494	328	335
